# Jmax  =         2048
# Nmax  =          100
# N1max =           50
# L     =    0.40000000E+001
# sig   =    0.10000000E+000
# k0    =    0.20000000E+002
# x0    =   -0.50000000E+000
# dt    =    0.10000000E-004
#
# x              r(j)               real              aimag
  -0.40000000E+001   0.00000000E+000   0.00000000E+000   0.00000000E+000
  -0.39960938E+001   0.15451496E-264  -0.73750061E-133   0.38610347E-132
  -0.39921875E+001   0.60497651E-264  -0.20511151E-132   0.75027047E-132
  -0.39882812E+001   0.23650689E-263  -0.52008740E-132   0.14472657E-131
  -0.39843750E+001   0.92318003E-263  -0.12475639E-131   0.27704485E-131
  -0.39804688E+001   0.35980428E-262  -0.28822841E-131   0.52605006E-131
  -0.39765625E+001   0.14001790E-261  -0.64784117E-131   0.99019232E-131
  -0.39726562E+001   0.54404914E-261  -0.14254527E-130   0.18462329E-130
  -0.39687500E+001   0.21107170E-260  -0.30829352E-130   0.34062708E-130
  -0.39648438E+001   0.81763451E-260  -0.65724897E-130   0.62101393E-130
  -0.39609375E+001   0.31624650E-259  -0.13839741E-129   0.11167277E-129
  -0.39570312E+001   0.12213203E-258  -0.28827362E-129   0.19756100E-129
  -0.39531250E+001   0.47094558E-258  -0.59462780E-129   0.34258337E-129
  -0.39492188E+001   0.18132146E-257  -0.12156720E-128   0.57909942E-129
  -0.39453125E+001   0.69705172E-257  -0.24648954E-128   0.94594293E-129
  -0.39414062E+001   0.26755811E-256  -0.49591087E-128   0.14707316E-128
  -0.39375000E+001   0.10254360E-255  -0.99035261E-128   0.21127633E-128
  -0.39335938E+001   0.39240660E-255  -0.19636775E-127   0.26083868E-128
  -0.39296875E+001   0.14993443E-254  -0.38665064E-127   0.20873728E-128
  -0.39257812E+001   0.57201020E-254  -0.75609226E-127  -0.18294454E-128
  -0.39218750E+001   0.21789310E-253  -0.14684005E-126  -0.15076784E-127
  -0.39179688E+001   0.82874422E-253  -0.28320534E-126  -0.51663882E-127
  -0.39140625E+001   0.31472762E-252  -0.54235669E-126  -0.14344630E-126
  -0.39101562E+001   0.11934014E-251  -0.10310924E-125  -0.36090146E-126
  -0.39062500E+001   0.45183048E-251  -0.19453565E-125  -0.85667552E-126
  -0.39023438E+001   0.17080549E-250  -0.36408233E-125  -0.19557492E-125
  -0.38984375E+001   0.64471156E-250  -0.67553298E-125  -0.43401239E-125
  -0.38945312E+001   0.24297769E-249  -0.12416773E-124  -0.94234515E-125
  -0.38906250E+001   0.91433357E-249  -0.22586580E-124  -0.20104228E-124
  -0.38867188E+001   0.34354233E-248  -0.40606321E-124  -0.42267600E-124
  -0.38828125E+001   0.12888226E-247  -0.72020916E-124  -0.87756561E-124
  -0.38789062E+001   0.48277345E-247  -0.12570981E-123  -0.18020652E-123
  -0.38750000E+001   0.18056390E-246  -0.21517452E-123  -0.36642028E-123
  -0.38710938E+001   0.67430407E-246  -0.35928593E-123  -0.73838857E-123
  -0.38671875E+001   0.25143050E-245  -0.58038382E-123  -0.14756218E-122
  -0.38632812E+001   0.93608969E-245  -0.89423279E-123  -0.29259605E-122
  -0.38593750E+001   0.34798000E-244  -0.12785809E-122  -0.57587525E-122
  -0.38554688E+001   0.12916011E-243  -0.15898832E-122  -0.11253106E-121
  -0.38515625E+001   0.47867404E-243  -0.13606277E-122  -0.21836271E-121
  -0.38476562E+001   0.17712858E-242   0.66893963E-123  -0.42081330E-121
  -0.38437500E+001   0.65444740E-242   0.75948229E-122  -0.80540628E-121
  -0.38398438E+001   0.24143385E-241   0.26616223E-121  -0.15308482E-120
  -0.38359375E+001   0.88932172E-241   0.73857582E-121  -0.28892426E-120
  -0.38320312E+001   0.32708223E-240   0.18445516E-120  -0.54134880E-120
  -0.38281250E+001   0.12011364E-239   0.43336086E-120  -0.10066453E-119
  -0.38242188E+001   0.44041795E-239   0.97773213E-120  -0.18569382E-119
  -0.38203125E+001   0.16124083E-238   0.21423835E-119  -0.33962149E-119
  -0.38164062E+001   0.58941659E-238   0.45903863E-119  -0.61538616E-119
