# Jmax  =          512
# Nmax  =          100
# N1max =           50
# L     =    0.40000000E+001
# sig   =    0.10000000E+000
# k0    =    0.20000000E+002
# x0    =   -0.50000000E+000
# dt    =    0.10000000E-004
#
# time              <x>               <(x-<x>)**2>
   0.00000000E+000  -0.50000000E+000   0.10000000E-001
   0.50000000E-003  -0.49019195E+000   0.10005627E-001
   0.10000000E-002  -0.48038389E+000   0.10022507E-001
   0.15000000E-002  -0.47057584E+000   0.10050640E-001
   0.20000000E-002  -0.46076778E+000   0.10090026E-001
   0.25000000E-002  -0.45095973E+000   0.10140666E-001
   0.30000000E-002  -0.44115167E+000   0.10202559E-001
   0.35000000E-002  -0.43134362E+000   0.10275706E-001
   0.40000000E-002  -0.42153556E+000   0.10360106E-001
   0.45000000E-002  -0.41172751E+000   0.10455759E-001
   0.50000000E-002  -0.40191945E+000   0.10562665E-001
   0.55000000E-002  -0.39211140E+000   0.10680825E-001
   0.60000000E-002  -0.38230334E+000   0.10810238E-001
   0.65000000E-002  -0.37249529E+000   0.10950904E-001
   0.70000000E-002  -0.36268723E+000   0.11102823E-001
   0.75000000E-002  -0.35287918E+000   0.11265996E-001
   0.80000000E-002  -0.34307112E+000   0.11440422E-001
   0.85000000E-002  -0.33326307E+000   0.11626102E-001
   0.90000000E-002  -0.32345501E+000   0.11823035E-001
   0.95000000E-002  -0.31364696E+000   0.12031221E-001
   0.10000000E-001  -0.30383890E+000   0.12250660E-001
   0.10500000E-001  -0.29403085E+000   0.12481353E-001
   0.11000000E-001  -0.28422279E+000   0.12723299E-001
   0.11500000E-001  -0.27441474E+000   0.12976498E-001
   0.12000000E-001  -0.26460668E+000   0.13240951E-001
   0.12500000E-001  -0.25479863E+000   0.13516656E-001
   0.13000000E-001  -0.24499057E+000   0.13803616E-001
   0.13500000E-001  -0.23518252E+000   0.14101828E-001
   0.14000000E-001  -0.22537446E+000   0.14411294E-001
   0.14500000E-001  -0.21556641E+000   0.14732013E-001
   0.15000000E-001  -0.20575835E+000   0.15063985E-001
   0.15500000E-001  -0.19595030E+000   0.15407211E-001
   0.16000000E-001  -0.18614224E+000   0.15761690E-001
   0.16500000E-001  -0.17633419E+000   0.16127422E-001
   0.17000000E-001  -0.16652613E+000   0.16504408E-001
   0.17500000E-001  -0.15671808E+000   0.16892647E-001
   0.18000000E-001  -0.14691002E+000   0.17292139E-001
   0.18500000E-001  -0.13710197E+000   0.17702884E-001
   0.19000000E-001  -0.12729391E+000   0.18124883E-001
   0.19500000E-001  -0.11748586E+000   0.18558135E-001
   0.20000000E-001  -0.10767780E+000   0.19002641E-001
   0.20500000E-001  -0.97869747E-001   0.19458399E-001
   0.21000000E-001  -0.88061693E-001   0.19925411E-001
   0.21500000E-001  -0.78253638E-001   0.20403676E-001
   0.22000000E-001  -0.68445583E-001   0.20893195E-001
   0.22500000E-001  -0.58637528E-001   0.21393967E-001
