# Jmax  =         1024
# Nmax  =          100
# N1max =           50
# L     =    0.40000000E+001
# sig   =    0.10000000E+000
# k0    =    0.20000000E+002
# x0    =   -0.50000000E+000
# dt    =    0.10000000E-004
#
# time              <x>               <(x-<x>)**2>
   0.00000000E+000  -0.50000000E+000   0.10000000E-001
   0.50000000E-003  -0.49004824E+000   0.10006089E-001
   0.10000000E-002  -0.48009647E+000   0.10024358E-001
   0.15000000E-002  -0.47014471E+000   0.10054805E-001
   0.20000000E-002  -0.46019294E+000   0.10097432E-001
   0.25000000E-002  -0.45024118E+000   0.10152237E-001
   0.30000000E-002  -0.44028942E+000   0.10219221E-001
   0.35000000E-002  -0.43033765E+000   0.10298384E-001
   0.40000000E-002  -0.42038589E+000   0.10389726E-001
   0.45000000E-002  -0.41043412E+000   0.10493247E-001
   0.50000000E-002  -0.40048236E+000   0.10608947E-001
   0.55000000E-002  -0.39053060E+000   0.10736826E-001
   0.60000000E-002  -0.38057883E+000   0.10876884E-001
   0.65000000E-002  -0.37062707E+000   0.11029120E-001
   0.70000000E-002  -0.36067530E+000   0.11193536E-001
   0.75000000E-002  -0.35072354E+000   0.11370130E-001
   0.80000000E-002  -0.34077178E+000   0.11558904E-001
   0.85000000E-002  -0.33082001E+000   0.11759856E-001
   0.90000000E-002  -0.32086825E+000   0.11972988E-001
   0.95000000E-002  -0.31091648E+000   0.12198298E-001
   0.10000000E-001  -0.30096472E+000   0.12435788E-001
   0.10500000E-001  -0.29101296E+000   0.12685456E-001
   0.11000000E-001  -0.28106119E+000   0.12947303E-001
   0.11500000E-001  -0.27110943E+000   0.13221329E-001
   0.12000000E-001  -0.26115766E+000   0.13507534E-001
   0.12500000E-001  -0.25120590E+000   0.13805918E-001
   0.13000000E-001  -0.24125413E+000   0.14116481E-001
   0.13500000E-001  -0.23130237E+000   0.14439223E-001
   0.14000000E-001  -0.22135061E+000   0.14774144E-001
   0.14500000E-001  -0.21139884E+000   0.15121243E-001
   0.15000000E-001  -0.20144708E+000   0.15480522E-001
   0.15500000E-001  -0.19149531E+000   0.15851980E-001
   0.16000000E-001  -0.18154355E+000   0.16235616E-001
   0.16500000E-001  -0.17159179E+000   0.16631432E-001
   0.17000000E-001  -0.16164002E+000   0.17039426E-001
   0.17500000E-001  -0.15168826E+000   0.17459599E-001
   0.18000000E-001  -0.14173649E+000   0.17891952E-001
   0.18500000E-001  -0.13178473E+000   0.18336483E-001
   0.19000000E-001  -0.12183297E+000   0.18793193E-001
   0.19500000E-001  -0.11188120E+000   0.19262082E-001
   0.20000000E-001  -0.10192944E+000   0.19743150E-001
   0.20500000E-001  -0.91977674E-001   0.20236397E-001
   0.21000000E-001  -0.82025910E-001   0.20741823E-001
   0.21500000E-001  -0.72074146E-001   0.21259428E-001
   0.22000000E-001  -0.62122382E-001   0.21789212E-001
   0.22500000E-001  -0.52170618E-001   0.22331174E-001
   0.23000000E-001  -0.42218854E-001   0.22885316E-001
   0.23500000E-001  -0.32267090E-001   0.23451637E-001
   0.24000000E-001  -0.22315326E-001   0.24030136E-001
   0.24500000E-001  -0.12363562E-001   0.24620815E-001
   0.25000000E-001  -0.24117977E-002   0.25223672E-001
   0.25500000E-001   0.75399664E-002   0.25838708E-001
   0.26000000E-001   0.17491730E-001   0.26465924E-001
   0.26500000E-001   0.27443494E-001   0.27105318E-001
   0.27000000E-001   0.37395259E-001   0.27756891E-001
   0.27500000E-001   0.47347023E-001   0.28420643E-001
   0.28000000E-001   0.57298787E-001   0.29096574E-001
   0.28500000E-001   0.67250551E-001   0.29784684E-001
   0.29000000E-001   0.77202315E-001   0.30484973E-001
   0.29500000E-001   0.87154079E-001   0.31197441E-001
