#
# time              <x>               <(x-<x>)**2>
   0.00000000E+000  -0.50000000E+000   0.10000000E-001
   0.50000000E-003  -0.49000000E+000   0.10006250E-001
   0.10000000E-002  -0.48000000E+000   0.10025000E-001
   0.15000000E-002  -0.47000000E+000   0.10056250E-001
   0.20000000E-002  -0.46000000E+000   0.10100000E-001
   0.25000000E-002  -0.45000000E+000   0.10156250E-001
   0.30000000E-002  -0.44000000E+000   0.10225000E-001
   0.35000000E-002  -0.43000000E+000   0.10306250E-001
   0.40000000E-002  -0.42000000E+000   0.10400000E-001
   0.45000000E-002  -0.41000000E+000   0.10506250E-001
   0.50000000E-002  -0.40000000E+000   0.10625000E-001
   0.55000000E-002  -0.39000000E+000   0.10756250E-001
   0.60000000E-002  -0.38000000E+000   0.10900000E-001
   0.65000000E-002  -0.37000000E+000   0.11056250E-001
   0.70000000E-002  -0.36000000E+000   0.11225000E-001
   0.75000000E-002  -0.35000000E+000   0.11406250E-001
   0.80000000E-002  -0.34000000E+000   0.11600000E-001
   0.85000000E-002  -0.33000000E+000   0.11806250E-001
   0.90000000E-002  -0.32000000E+000   0.12025000E-001
   0.95000000E-002  -0.31000000E+000   0.12256250E-001
   0.10000000E-001  -0.30000000E+000   0.12500000E-001
   0.10500000E-001  -0.29000000E+000   0.12756250E-001
   0.11000000E-001  -0.28000000E+000   0.13025000E-001
   0.11500000E-001  -0.27000000E+000   0.13306250E-001
   0.12000000E-001  -0.26000000E+000   0.13600000E-001
   0.12500000E-001  -0.25000000E+000   0.13906250E-001
   0.13000000E-001  -0.24000000E+000   0.14225000E-001
   0.13500000E-001  -0.23000000E+000   0.14556250E-001
   0.14000000E-001  -0.22000000E+000   0.14900000E-001
   0.14500000E-001  -0.21000000E+000   0.15256250E-001
   0.15000000E-001  -0.20000000E+000   0.15625000E-001
   0.15500000E-001  -0.19000000E+000   0.16006250E-001
   0.16000000E-001  -0.18000000E+000   0.16400000E-001
   0.16500000E-001  -0.17000000E+000   0.16806250E-001
   0.17000000E-001  -0.16000000E+000   0.17225000E-001
   0.17500000E-001  -0.15000000E+000   0.17656250E-001
   0.18000000E-001  -0.14000000E+000   0.18100000E-001
   0.18500000E-001  -0.13000000E+000   0.18556250E-001
   0.19000000E-001  -0.12000000E+000   0.19025000E-001
   0.19500000E-001  -0.11000000E+000   0.19506250E-001
   0.20000000E-001  -0.10000000E+000   0.20000000E-001
   0.20500000E-001  -0.90000000E-001   0.20506250E-001
   0.21000000E-001  -0.80000000E-001   0.21025000E-001
   0.21500000E-001  -0.70000000E-001   0.21556250E-001
   0.22000000E-001  -0.60000000E-001   0.22100000E-001
   0.22500000E-001  -0.50000000E-001   0.22656250E-001
   0.23000000E-001  -0.40000000E-001   0.23225000E-001
   0.23500000E-001  -0.30000000E-001   0.23806250E-001
   0.24000000E-001  -0.20000000E-001   0.24400000E-001
   0.24500000E-001  -0.10000000E-001   0.25006250E-001
   0.25000000E-001   0.00000000E+000   0.25625000E-001
   0.25500000E-001   0.10000000E-001   0.26256250E-001
   0.26000000E-001   0.20000000E-001   0.26900000E-001
   0.26500000E-001   0.30000000E-001   0.27556250E-001
   0.27000000E-001   0.40000000E-001   0.28225000E-001
   0.27500000E-001   0.50000000E-001   0.28906250E-001
   0.28000000E-001   0.60000000E-001   0.29600000E-001
   0.28500000E-001   0.70000000E-001   0.30306250E-001
   0.29000000E-001   0.80000000E-001   0.31025000E-001
   0.29500000E-001   0.90000000E-001   0.31756250E-001
   0.30000000E-001   0.10000000E+000   0.32500000E-001
   0.30500000E-001   0.11000000E+000   0.33256250E-001
   0.31000000E-001   0.12000000E+000   0.34025000E-001
   0.31500000E-001   0.13000000E+000   0.34806250E-001
   0.32000000E-001   0.14000000E+000   0.35600000E-001
   0.32500000E-001   0.15000000E+000   0.36406250E-001
   0.33000000E-001   0.16000000E+000   0.37225000E-001
   0.33500000E-001   0.17000000E+000   0.38056250E-001
   0.34000000E-001   0.18000000E+000   0.38900000E-001
   0.34500000E-001   0.19000000E+000   0.39756250E-001
   0.35000000E-001   0.20000000E+000   0.40625000E-001
   0.35500000E-001   0.21000000E+000   0.41506250E-001
   0.36000000E-001   0.22000000E+000   0.42400000E-001
   0.36500000E-001   0.23000000E+000   0.43306250E-001
   0.37000000E-001   0.24000000E+000   0.44225000E-001
   0.37500000E-001   0.25000000E+000   0.45156250E-001
   0.38000000E-001   0.26000000E+000   0.46100000E-001
   0.38500000E-001   0.27000000E+000   0.47056250E-001
